OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,TotRmsAbvGrd,Age,Neighborhood,YearRemodAdd,MasVnrArea,BsmtUnfSF,FullBath,LotFrontage,WoodDeckSF,GarageYrBlt,GarageType
6,1080,1080,0,570,1080,1,288,9464,5,50,NAmes,1958,135.0,510,1,75.0,0,1958.0,Attchd
6,1199,1199,0,300,1199,2,530,7892,5,15,SawyerW,1993,0.0,899,2,55.0,0,1993.0,Attchd
6,1586,1362,0,0,1586,2,435,17043,7,30,NWAmes,1998,0.0,1362,2,48.0,192,1979.0,Attchd
6,754,520,0,490,520,0,0,6780,5,71,IDOTRR,1982,0.0,30,1,60.0,53,1980.0,missing
6,958,1078,0,120,958,2,440,4928,5,31,NPkVill,1976,0.0,958,2,69.0,0,1977.0,Attchd
5,840,672,0,116,840,0,0,4388,5,77,OldTown,1950,0.0,556,1,55.0,0,1980.0,missing
6,1348,660,688,512,660,2,453,7590,6,40,NAmes,1966,266.0,148,1,69.0,188,1966.0,Attchd
5,1053,1008,0,567,1053,2,750,8973,6,48,NAmes,1991,85.0,413,1,69.0,0,1998.0,2Types
7,2157,924,941,445,1216,2,487,14200,8,40,NAmes,1966,309.0,479,2,88.0,105,1966.0,Attchd
6,2054,992,1032,695,1022,2,390,12224,7,9,Gilbert,2000,40.0,297,2,69.0,24,2000.0,BuiltIn
5,1327,1063,0,405,1327,2,624,7388,7,48,NAmes,2002,0.0,658,1,75.0,0,1974.0,Detchd
8,1296,1267,0,1005,1296,2,471,6853,6,8,Timber,2002,136.0,262,2,69.0,192,2001.0,Attchd
5,1721,1461,0,570,1721,2,440,10335,7,38,Sawyer,1993,0.0,891,2,78.0,0,1968.0,Attchd
7,1682,1304,0,0,1682,2,530,10400,7,38,NWAmes,1970,288.0,1304,2,80.0,98,1970.0,Attchd
5,1214,1214,0,695,1214,1,318,10355,5,40,NAmes,1967,196.0,519,2,69.0,0,1967.0,Attchd
7,1959,1907,0,0,1959,3,766,11070,9,18,Mitchel,1989,70.0,1907,3,82.0,0,1989.0,2Types
8,1852,1004,848,668,1004,3,660,9066,7,9,CollgCr,2000,320.0,336,2,73.0,224,1999.0,Attchd
6,1764,928,836,821,928,2,470,15426,7,12,CollgCr,1997,0.0,107,2,65.0,276,1997.0,Attchd
4,864,864,0,432,864,0,0,10500,5,39,NAmes,1971,0.0,432,1,70.0,0,1980.0,missing
7,1734,1734,0,1300,1734,2,660,11645,7,1,CollgCr,2005,0.0,434,2,78.0,160,2005.0,Attchd
5,1385,910,475,507,910,2,720,8520,6,58,NAmes,1952,0.0,403,2,71.0,0,2000.0,Detchd
7,1501,1490,0,679,1501,2,577,10335,6,10,CollgCr,1999,183.0,811,2,78.0,144,1999.0,Attchd
5,1728,1728,0,1332,1728,2,504,9100,10,43,Sawyer,1963,336.0,396,2,70.0,0,1963.0,Detchd
6,1709,970,739,0,970,2,380,2522,7,2,Edwards,2006,50.0,970,2,24.0,0,2004.0,Detchd
5,875,715,0,209,875,1,180,6120,5,78,BrkSide,1993,0.0,506,1,51.0,48,1931.0,Detchd
7,2035,884,1151,0,884,2,434,9505,8,9,Gilbert,2001,180.0,884,2,69.0,144,2001.0,BuiltIn
7,1080,1080,0,680,1080,0,0,7500,6,4,SawyerW,2005,120.0,400,1,63.0,0,1980.0,missing
5,1344,896,448,0,896,1,240,6240,7,70,BrkSide,1950,0.0,896,1,69.0,200,1936.0,Detchd
5,969,969,0,716,969,2,440,10356,5,32,CollgCr,1975,0.0,253,1,120.0,0,1975.0,Attchd
8,1710,1710,0,1400,1710,3,866,13891,6,1,NridgHt,2008,436.0,310,2,107.0,0,2007.0,Attchd
6,1993,825,896,416,1097,2,495,14803,8,35,NWAmes,1971,252.0,409,2,69.0,0,1971.0,Attchd
6,1252,1602,0,429,1252,2,564,13500,4,48,ClearCr,1975,0.0,93,1,69.0,409,1960.0,Attchd
6,1200,1200,0,0,1200,1,312,11340,7,83,OldTown,1950,0.0,1200,1,84.0,0,1923.0,Detchd
6,1096,572,524,0,572,0,0,9600,5,84,Edwards,1950,0.0,572,1,60.0,0,1980.0,missing
5,1040,0,0,0,1040,2,625,7200,5,56,NAmes,1950,0.0,0,1,60.0,0,1950.0,Detchd
8,1968,774,1194,0,774,3,680,12003,8,1,Timber,2010,84.0,774,2,92.0,0,2009.0,BuiltIn
7,1947,991,956,222,991,2,678,12552,8,6,Somerst,2005,0.0,769,2,100.0,0,2004.0,Attchd
7,2462,1392,1070,57,1392,2,576,19378,9,1,Gilbert,2006,456.0,1335,2,134.0,239,2006.0,Attchd
6,1232,1232,0,660,1232,2,516,11120,6,24,Veenker,1984,0.0,572,2,69.0,0,1984.0,Attchd
9,2668,1572,1096,1016,1572,3,726,13688,10,5,NridgHt,2004,664.0,556,2,110.0,400,2003.0,BuiltIn
7,1541,1541,0,1201,1541,2,532,12182,7,5,NridgHt,2005,226.0,340,2,95.0,0,2005.0,Attchd
4,882,882,0,0,882,0,0,5500,4,51,OldTown,1956,0.0,882,1,55.0,0,1980.0,missing
6,1616,1149,467,370,1149,1,216,5400,5,81,OldTown,2004,0.0,779,2,40.0,0,1926.0,Detchd
5,1355,644,547,351,808,0,0,10106,6,68,Edwards,1999,0.0,112,2,62.0,140,1980.0,missing
5,1867,1617,0,379,1867,1,303,10708,7,54,ClearCr,1993,0.0,470,1,69.0,476,1955.0,Attchd
8,2161,1582,551,1288,1610,3,789,10562,8,0,NridgHt,2007,300.0,294,1,86.0,178,2007.0,Attchd
7,1720,840,880,0,840,2,440,8244,7,3,Gilbert,2004,0.0,840,2,62.0,100,2004.0,Attchd
8,1707,1686,0,0,1707,2,511,16669,6,25,Timber,1981,653.0,1686,2,69.0,574,1981.0,Attchd
5,1382,720,0,360,854,2,660,12358,7,66,OldTown,1950,0.0,360,1,69.0,237,1991.0,Detchd
6,1656,1080,0,639,1656,2,528,31770,7,50,NAmes,1960,112.0,441,1,141.0,210,1960.0,Attchd
7,1767,1064,703,495,1064,2,504,5306,5,19,StoneBr,1987,0.0,354,2,44.0,441,1987.0,Attchd
6,1362,1362,0,288,1362,2,504,10197,6,47,NAmes,1961,491.0,700,1,80.0,0,1961.0,Attchd
6,1651,1606,0,1398,1651,2,616,12416,7,22,Timber,1986,132.0,0,2,47.0,192,1986.0,Attchd
6,2158,1202,0,477,2158,2,576,12615,7,57,Edwards,2001,0.0,725,2,84.0,0,1950.0,Attchd
6,2060,1151,896,831,1164,2,521,10029,8,19,ClearCr,1989,268.0,320,2,97.0,0,1988.0,Attchd
5,1920,1052,668,57,1252,2,451,13650,8,48,Sawyer,1958,0.0,554,2,69.0,0,1958.0,Attchd
9,2234,2216,0,1904,2234,3,1166,17423,9,1,StoneBr,2009,748.0,312,2,63.0,0,2009.0,Attchd
5,968,968,0,0,968,2,480,8520,5,84,OldTown,2006,0.0,968,1,60.0,0,1935.0,Detchd
6,1525,756,756,436,769,2,440,2117,5,7,Somerst,2000,456.0,320,2,69.0,0,2000.0,Detchd
7,1802,793,901,352,901,1,216,7588,9,86,Crawfor,1950,0.0,441,1,54.0,0,1920.0,Detchd
5,1340,0,0,0,1340,1,252,9060,7,50,Edwards,2006,98.0,0,1,60.0,116,1957.0,Attchd
7,2082,1362,720,0,1362,2,484,11426,6,5,OldTown,2003,0.0,1362,2,63.0,280,2003.0,Detchd
5,1252,504,316,0,936,2,576,7438,5,98,BrkSide,1991,0.0,504,1,92.0,104,1986.0,Attchd
10,3608,1107,1518,0,1518,3,840,22950,12,114,OldTown,1993,0.0,1107,2,90.0,0,1993.0,Detchd
7,1217,1188,0,611,1217,2,497,9947,6,19,Mitchel,1991,0.0,577,2,69.0,168,1990.0,Attchd
5,1656,660,704,0,808,1,180,10410,8,93,OldTown,1987,0.0,660,2,60.0,0,1916.0,Detchd
5,1224,1086,0,1086,1224,2,528,7018,6,30,SawyerW,1979,275.0,0,0,64.0,120,1979.0,Detchd
8,1593,1593,0,1153,1593,2,682,4923,5,7,StoneBr,2002,0.0,440,1,41.0,0,2001.0,Attchd
8,2727,853,1178,297,1549,2,440,10570,10,75,Crawfor,1994,0.0,556,2,70.0,0,1932.0,Detchd
7,1479,725,754,626,725,2,484,7472,7,35,NAmes,2004,138.0,99,1,69.0,0,1972.0,Attchd
7,1431,1431,0,560,1431,2,666,9017,6,10,CollgCr,1999,0.0,871,2,68.0,0,1999.0,Attchd
7,1709,970,739,0,970,2,380,2522,7,2,Edwards,2004,50.0,970,2,24.0,0,2004.0,Detchd
5,864,864,0,390,864,1,352,7180,5,36,CollgCr,1972,0.0,474,1,60.0,0,1989.0,Detchd
6,1456,855,601,566,855,2,440,2280,7,33,NPkVill,1976,0.0,289,2,24.0,87,1976.0,Attchd
7,1726,1726,0,1126,1726,3,786,9416,8,0,Somerst,2007,205.0,600,2,79.0,171,2007.0,Attchd
8,3112,1360,1360,1036,1360,2,795,25419,8,88,NAmes,1990,0.0,140,2,174.0,0,1918.0,Detchd
6,2229,755,929,0,929,0,0,5520,8,97,OldTown,1950,0.0,755,1,92.0,0,1980.0,missing
8,1713,1713,0,1088,1713,3,856,9591,7,5,NridgHt,2005,262.0,625,2,76.0,0,2004.0,Attchd
4,1121,1121,0,0,1121,2,440,8546,5,7,Edwards,2004,0.0,1121,2,80.0,132,2003.0,Attchd
6,1279,1196,0,641,1279,2,473,10125,6,31,Mitchel,1977,0.0,276,2,75.0,238,1980.0,Detchd
6,1310,617,445,617,865,1,398,7000,6,82,OldTown,1950,0.0,0,2,50.0,0,1924.0,Attchd
6,848,848,0,662,848,2,420,4438,3,4,CollgCr,2004,205.0,186,1,69.0,149,2004.0,Attchd
5,1284,720,564,312,720,1,240,3500,5,62,OldTown,1950,0.0,408,1,50.0,0,1948.0,Detchd
7,1442,1424,0,0,1442,2,500,11851,5,19,Gilbert,1990,0.0,1424,2,99.0,0,1990.0,Attchd
5,1696,1140,0,0,1696,1,349,13673,8,45,Sawyer,1962,0.0,1140,1,40.0,0,1962.0,Attchd
4,1100,1100,0,419,1100,1,312,12493,6,48,NAmes,1960,0.0,375,1,69.0,355,1960.0,Attchd
7,2062,1157,882,1065,1180,2,454,14364,7,19,SawyerW,1989,128.0,92,2,69.0,60,1988.0,Attchd
6,1092,1092,0,787,1092,2,504,8250,6,44,NAmes,1964,260.0,305,1,75.0,0,1964.0,Attchd
5,864,864,0,468,864,0,0,5604,5,83,Edwards,1950,0.0,396,1,67.0,0,1980.0,missing
6,1212,1212,0,36,1212,2,460,10420,6,1,Edwards,2009,0.0,1176,2,83.0,100,2009.0,Attchd
7,1852,900,920,822,932,2,644,8640,7,0,Somerst,2009,0.0,78,2,72.0,168,2009.0,Attchd
5,990,990,0,716,990,2,576,13568,5,11,CollgCr,1995,0.0,274,1,43.0,224,1996.0,Attchd
6,1392,689,703,378,689,1,299,10900,6,33,CollgCr,1977,153.0,311,1,69.0,0,1977.0,Attchd
5,1236,1070,0,360,1236,1,447,10011,6,49,NAmes,1996,64.0,710,1,72.0,0,1957.0,Attchd
7,1436,1436,0,946,1436,2,484,8450,8,4,CollgCr,2004,266.0,490,2,65.0,139,2004.0,Attchd
4,1328,686,518,0,810,1,210,9906,8,81,OldTown,1950,0.0,686,1,57.0,0,1940.0,Detchd
7,1954,798,817,341,1137,2,431,15660,8,69,Crawfor,2006,312.0,457,1,69.0,0,1939.0,Attchd
7,1248,1248,0,16,1248,2,438,3010,5,1,Blmngtn,2006,16.0,1232,2,43.0,108,2005.0,Attchd
7,1498,1498,0,0,1498,2,675,8990,5,0,CollgCr,2006,0.0,1498,2,73.0,351,2006.0,Attchd
6,2267,1010,1257,0,1010,2,390,8068,8,7,Gilbert,2002,0.0,1010,2,69.0,120,2002.0,BuiltIn
6,1552,713,741,550,811,2,434,11475,6,31,NWAmes,1975,0.0,163,2,85.0,209,1975.0,Attchd
4,864,864,0,524,864,2,576,10500,4,38,NAmes,1971,0.0,160,1,70.0,216,1989.0,Detchd
10,2392,2392,0,56,2392,3,968,13472,8,6,NridgHt,2003,922.0,2336,2,103.0,248,2003.0,Attchd
5,1302,630,672,0,630,1,280,1680,6,38,BrDale,1971,142.0,630,2,21.0,0,1991.0,Detchd
7,2520,1203,1306,565,1214,3,721,9950,9,12,NoRidge,1995,290.0,638,2,82.0,224,1995.0,Attchd
6,987,483,504,321,483,1,280,1869,5,38,BrDale,1970,127.0,162,1,21.0,0,1987.0,Detchd
5,912,912,0,842,912,1,336,8521,5,43,Sawyer,1967,0.0,70,1,70.0,0,1974.0,Detchd
7,1555,1373,0,16,1555,2,430,3182,7,4,Blmngtn,2006,16.0,1357,2,43.0,143,2005.0,Attchd
6,1194,1194,0,0,1194,1,312,8760,6,51,NAmes,1959,220.0,1194,1,73.0,0,1959.0,Attchd
8,2794,1462,1304,689,1490,3,810,15138,9,14,NoRidge,1996,506.0,773,2,174.0,0,1995.0,Attchd
6,987,483,504,0,483,1,288,1680,5,34,BrDale,1972,297.0,483,1,21.0,0,1972.0,Attchd
5,894,894,0,182,894,1,308,10650,5,34,CollgCr,1976,0.0,0,1,75.0,365,1976.0,Attchd
6,1960,860,1100,625,860,2,440,7851,8,8,Gilbert,2002,0.0,235,2,69.0,288,2002.0,BuiltIn
6,987,483,504,358,483,1,264,1680,5,37,BrDale,1971,604.0,125,1,21.0,0,1971.0,Detchd
