OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,TotRmsAbvGrd,Age,Neighborhood,YearRemodAdd,MasVnrArea,BsmtUnfSF,FullBath,LotFrontage,WoodDeckSF,GarageYrBlt,GarageType
8,1978,1978.0,0,1682.0,1978,3.0,850.0,10389,8,7,CollgCr,2003,320.0,296.0,2,80.0,188,2003.0,Attchd
7,2098,1040.0,1054,0.0,1044,2.0,621.0,9375,9,13,CollgCr,1997,0.0,1040.0,2,75.0,331,1997.0,Attchd
6,848,848.0,0,672.0,848,2.0,420.0,4435,4,7,CollgCr,2003,170.0,176.0,1,67.0,140,2003.0,Attchd
3,640,0.0,0,0.0,640,1.0,240.0,8777,5,65,Edwards,2007,0.0,0.0,1,67.0,0,1945.0,Detchd
5,992,381.0,0,0.0,992,1.0,319.0,8842,6,56,Edwards,1954,0.0,381.0,1,68.0,60,1954.0,Detchd
5,1196,1196.0,0,1070.0,1196,1.0,336.0,10044,6,42,Edwards,1968,0.0,126.0,1,60.0,257,1968.0,Attchd
4,1120,744.0,328,0.0,792,2.0,480.0,11792,5,62,Edwards,1950,0.0,744.0,1,89.0,0,1956.0,Detchd
6,1096,1008.0,0,528.0,1096,1.0,352.0,6305,5,35,Edwards,1975,0.0,480.0,1,65.0,0,1975.0,Detchd
4,960,960.0,0,0.0,960,0.0,0.0,6410,5,52,Edwards,1958,0.0,960.0,1,64.0,0,1979.0,missing
5,1296,1107.0,0,133.0,1296,1.0,260.0,4853,5,86,SWISU,1999,203.0,974.0,2,67.0,0,1979.0,Detchd
6,856,856.0,0,238.0,856,2.0,399.0,7890,4,71,SWISU,1950,0.0,618.0,1,67.0,0,1939.0,Detchd
4,2650,0.0,1788,0.0,862,0.0,0.0,7200,10,43,SWISU,1967,0.0,0.0,3,60.0,0,1979.0,missing
5,1666,894.0,772,0.0,894,0.0,0.0,9839,7,79,SWISU,1950,0.0,894.0,1,51.0,0,1979.0,missing
7,2133,1528.0,908,426.0,1225,1.0,312.0,10452,8,69,Crawfor,1985,371.0,850.0,1,78.0,0,1941.0,Attchd
5,2177,1032.0,1075,375.0,1102,2.0,484.0,15600,11,60,Crawfor,1991,430.0,657.0,2,78.0,0,1950.0,Detchd
7,1652,423.0,756,343.0,896,2.0,473.0,19645,6,16,Crawfor,2007,44.0,80.0,2,85.0,0,1994.0,BuiltIn
8,1034,982.0,0,747.0,1034,2.0,598.0,3907,4,21,Blueste,1989,0.0,235.0,1,35.0,141,1989.0,Attchd
8,1191,1191.0,0,76.0,1191,2.0,531.0,3907,5,21,Blueste,1989,0.0,1115.0,2,35.0,112,1989.0,Attchd
2,540,480.0,0,480.0,540,1.0,200.0,8154,4,69,IDOTRR,1950,0.0,0.0,1,58.0,0,1951.0,Detchd
6,1107,629.0,380,308.0,727,1.0,625.0,9140,5,89,IDOTRR,1975,0.0,321.0,1,50.0,0,1950.0,Detchd
4,952,756.0,0,0.0,952,1.0,330.0,8712,5,114,IDOTRR,1950,0.0,756.0,1,66.0,0,1896.0,Detchd
8,1646,1594.0,0,1373.0,1646,2.0,525.0,3811,5,6,Crawfor,2005,186.0,221.0,2,44.0,128,2004.0,Attchd
8,1916,1049.0,880,615.0,1036,3.0,741.0,11050,8,12,Mitchel,1999,0.0,434.0,2,85.0,0,1998.0,Attchd
6,1285,1243.0,0,679.0,1285,2.0,473.0,9620,6,33,Mitchel,1977,0.0,564.0,2,74.0,375,1977.0,Attchd
6,2048,1958.0,0,0.0,2048,2.0,776.0,12760,9,34,Mitchel,1976,0.0,1958.0,3,67.0,0,1976.0,2Types
7,1346,1336.0,0,78.0,1346,3.0,660.0,11896,6,2,Timber,2008,60.0,1258.0,2,88.0,100,2008.0,Attchd
7,1214,1214.0,0,0.0,1214,2.0,520.0,9803,6,1,Timber,2010,0.0,1214.0,2,73.0,0,2010.0,Attchd
5,1444,384.0,700,0.0,744,2.0,400.0,9802,7,4,Timber,2007,0.0,384.0,2,73.0,100,2007.0,BuiltIn
5,1264,1068.0,0,42.0,1264,2.0,528.0,15300,7,45,Mitchel,1977,0.0,1026.0,1,85.0,0,1965.0,Attchd
5,1430,1430.0,0,0.0,1430,2.0,624.0,10114,7,6,Mitchel,2005,0.0,1430.0,2,93.0,0,2004.0,Attchd
5,1344,1344.0,0,0.0,1344,2.0,686.0,11875,7,11,Mitchel,1999,0.0,1344.0,2,67.0,328,2001.0,Attchd
5,945,945.0,0,915.0,945,1.0,253.0,2394,5,37,MeadowV,1973,0.0,30.0,1,31.0,174,1973.0,Attchd
4,1092,546.0,546,176.0,546,0.0,0.0,1476,5,40,MeadowV,1970,0.0,370.0,1,21.0,200,1979.0,missing
4,1092,546.0,546,0.0,546,0.0,0.0,1900,5,40,MeadowV,1970,0.0,546.0,1,21.0,0,1979.0,missing
4,1092,546.0,546,294.0,546,1.0,286.0,1890,5,38,MeadowV,1972,0.0,252.0,1,21.0,0,1972.0,Attchd
5,874,864.0,0,469.0,874,1.0,352.0,6953,5,39,Mitchel,2004,0.0,395.0,1,50.0,0,1971.0,Detchd
5,833,833.0,0,207.0,833,2.0,495.0,12887,5,26,Mitchel,1984,0.0,36.0,1,76.0,431,1984.0,Attchd
5,2432,1216.0,1216,0.0,1216,2.0,616.0,7700,10,25,Mitchel,1986,0.0,1216.0,3,70.0,200,1985.0,Attchd
5,1274,624.0,650,458.0,624,2.0,576.0,10475,6,19,Mitchel,1991,0.0,166.0,1,63.0,22,1993.0,Detchd
5,1479,864.0,615,476.0,864,1.0,275.0,10544,8,41,Mitchel,1969,0.0,388.0,2,68.0,287,1969.0,Attchd
8,1803,1679.0,0,1341.0,1803,2.0,482.0,9892,6,16,Mitchel,1995,0.0,54.0,2,76.0,129,1994.0,Attchd
6,1797,1152.0,645,944.0,1152,2.0,616.0,12961,7,17,Mitchel,1994,0.0,208.0,2,74.0,162,1993.0,Attchd
6,882,882.0,0,564.0,882,1.0,502.0,13008,5,53,NAmes,1956,0.0,318.0,1,74.0,0,1956.0,Attchd
6,1434,1434.0,0,844.0,1434,2.0,528.0,10200,7,35,NAmes,1974,440.0,590.0,2,85.0,80,1974.0,Attchd
6,1608,945.0,663,847.0,945,2.0,470.0,10179,7,12,Gilbert,1997,0.0,98.0,2,88.0,252,1997.0,Attchd
8,2283,1008.0,1275,850.0,1008,3.0,632.0,11792,9,6,Gilbert,2003,188.0,158.0,2,67.0,120,2003.0,BuiltIn
7,1628,384.0,670,284.0,958,2.0,390.0,8400,7,13,Gilbert,1997,32.0,100.0,2,60.0,48,1996.0,BuiltIn
8,2522,2208.0,0,1965.0,2522,2.0,564.0,7296,8,5,StoneBr,2005,0.0,243.0,2,28.0,182,2004.0,Attchd
8,1478,1418.0,0,341.0,1478,2.0,495.0,7380,5,11,StoneBr,1998,0.0,1077.0,2,61.0,168,1998.0,Attchd
8,1734,1587.0,0,741.0,1734,2.0,528.0,8013,6,14,StoneBr,1996,0.0,846.0,2,57.0,52,1995.0,Attchd
7,1382,384.0,631,189.0,751,2.0,396.0,8923,7,11,Gilbert,1998,0.0,195.0,2,57.0,256,1998.0,BuiltIn
6,1636,952.0,684,476.0,952,2.0,440.0,7500,7,11,Gilbert,1999,0.0,476.0,2,60.0,0,1998.0,Attchd
6,1516,707.0,809,600.0,707,2.0,409.0,8803,7,15,Gilbert,1995,0.0,107.0,2,67.0,0,1994.0,Attchd
6,1190,1181.0,0,0.0,1190,2.0,430.0,7250,6,16,Gilbert,1993,45.0,1181.0,2,58.0,0,1993.0,Attchd
5,1934,1122.0,988,400.0,946,2.0,567.0,11900,6,32,Gilbert,1977,157.0,722.0,2,85.0,0,1977.0,Attchd
7,2050,832.0,896,0.0,1154,2.0,529.0,13250,8,31,NWAmes,1978,256.0,832.0,2,67.0,192,1978.0,Attchd
6,1671,1427.0,0,363.0,1671,2.0,484.0,10928,7,31,NWAmes,1986,101.0,1064.0,2,80.0,252,1978.0,Attchd
7,2673,1043.0,1134,602.0,1539,2.0,441.0,12388,9,29,NWAmes,1991,229.0,441.0,2,67.0,178,1980.0,BuiltIn
6,1707,1140.0,0,832.0,1707,2.0,479.0,11088,7,31,NWAmes,1998,144.0,308.0,2,80.0,0,1978.0,Attchd
7,1884,926.0,868,622.0,1016,2.0,581.0,7000,7,6,Somerst,2003,0.0,304.0,2,70.0,0,2003.0,Attchd
8,1874,1058.0,816,0.0,1058,2.0,588.0,7500,7,9,Somerst,2001,0.0,1058.0,2,67.0,0,2000.0,Attchd
8,1811,972.0,839,225.0,972,2.0,565.0,8470,7,7,Somerst,2002,0.0,471.0,2,67.0,225,2002.0,Attchd
5,1621,1621.0,0,1333.0,1621,2.0,478.0,9373,7,34,NWAmes,1975,161.0,120.0,2,67.0,0,1975.0,Attchd
6,1116,1116.0,0,888.0,1116,2.0,528.0,10140,6,35,NWAmes,1974,196.0,228.0,2,78.0,0,1974.0,Attchd
7,1193,1176.0,0,636.0,1193,2.0,506.0,11050,5,34,NWAmes,1975,0.0,540.0,2,85.0,40,1975.0,Attchd
5,1180,1180.0,0,0.0,1180,2.0,477.0,7830,6,39,NAmes,1970,0.0,1180.0,1,67.0,0,1970.0,Attchd
5,1050,1043.0,0,500.0,1050,1.0,336.0,8510,6,38,NAmes,1971,178.0,543.0,1,67.0,0,1971.0,Attchd
4,864,864.0,0,726.0,864,2.0,576.0,7038,5,39,NAmes,1970,0.0,138.0,1,60.0,210,2001.0,Detchd
4,864,864.0,0,240.0,864,2.0,576.0,9000,5,38,NAmes,2006,0.0,624.0,1,60.0,200,1986.0,Detchd
6,987,483.0,504,254.0,483,1.0,264.0,1680,5,36,BrDale,1973,504.0,229.0,1,21.0,0,1973.0,Detchd
6,987,483.0,504,110.0,483,1.0,288.0,1680,5,37,BrDale,1972,425.0,79.0,1,21.0,0,1972.0,Detchd
6,1548,804.0,744,306.0,804,2.0,440.0,2308,7,33,NPkVill,1976,0.0,498.0,2,24.0,108,1976.0,Detchd
7,1055,1057.0,0,435.0,1055,2.0,440.0,2280,4,34,NPkVill,1975,0.0,0.0,2,24.0,0,1975.0,Attchd
6,1456,855.0,601,389.0,855,2.0,440.0,2349,6,32,NPkVill,1977,0.0,466.0,2,24.0,0,1977.0,Attchd
6,1548,804.0,744,320.0,804,2.0,440.0,2364,7,31,NPkVill,1978,0.0,484.0,2,24.0,108,1978.0,Detchd
6,1456,855.0,601,279.0,855,2.0,440.0,2364,6,31,NPkVill,1978,0.0,576.0,2,24.0,147,1978.0,Attchd
7,836,836.0,0,536.0,836,1.0,345.0,2104,5,33,NPkVill,1976,0.0,300.0,1,24.0,150,1976.0,Attchd
5,1120,864.0,0,644.0,1120,2.0,656.0,10710,5,43,NAmes,2004,165.0,220.0,1,67.0,0,1966.0,Attchd
9,2772,1776.0,978,1360.0,1794,3.0,754.0,14257,10,2,NridgHt,2007,726.0,416.0,3,110.0,135,2007.0,BuiltIn
9,2690,1365.0,1325,986.0,1365,3.0,864.0,12350,8,0,NridgHt,2009,0.0,379.0,2,95.0,0,2009.0,Attchd
